Chatgaya,Bangla
কিছু লাগিলি আঁরে জানাইয়্যুন,কিছু লাগলে আমাকে জানাবেন
"এই হোটেলুর হানা ভালা ন, আঁরা সামনুর হোটেলুত যায়","এই হোটেলের খাবার ভাল না, আমরা সামনের হোটেলে যায়"
"এই হোটেলুর হানা গম ন, আঁরা সামনুর হোটেলুত যায়","এই হোটেলের খাবার ভাল না, আমরা সামনের হোটেলে যায়"
কি কিননুম বাজারোত্তুন! বিয়াক কিছুর যে দাম!,কি কিনব বাজার থেকে! সবকিছুর যে দাম!
মারুফ পইল্লের বলেই আউট অই গেইয়্যি,মারুফ প্রথম বলেই আউট হয়ে গেছে
"আঁই এহন চলি যাইর, তুঁই পরে আইস্যো","আমি এখন চলে যাচ্ছি, তুমি পরে আসিও"
"ঠিক আছে, ইবে প্যাকেট গরি দন","ঠিক আছে, এটা প্যাকেট করে দেন"
বেইন্নে আঁই রুটি হাইয়্যুম,সকালে আমি রুটি খাব
ফজোরত আঁই রুটি হাইয়্যুম,সকালে আমি রুটি খাব
আজুইন্নের পর দরজা-জানালা বিয়াক বন্ধ গরি দিস,সন্ধ্যার পর দরজা-জানালা সব বন্ধ করে দিস
আরাদিন বই বই টিভিত কার্টুন চাইলি পরালেহা হত্তে গরিবি?,সারাদিন বসে বসে টিভিতে কার্টুন দেখলে পড়ালেখা কখন করবে?
ফুরোদিন বই বই টিভিত কার্টুন চাইলি পরালেহা হত্তে গরিবি?,সারাদিন বসে বসে টিভিতে কার্টুন দেখলে পড়ালেখা কখন করবে?
আঁই কি হইয়্যি ইয়েন তুঁই এক্কানা ভালা গরি চিন্তে গরি স,আমি কি বলেছি সেটা তুমি একটু ভাল করে চিন্তা করে দেখ
আঁই কি হইয়্যি ইয়েন তুঁই এক্কানা গম গরি চিন্তে গরি স,আমি কি বলেছি সেটা তুমি একটু ভাল করে চিন্তা করে দেখ
আঁই কি হইয়্যি ইয়েন তুঁই ইক্কিনি ভালা গরি চিন্তে গরি স,আমি কি বলেছি সেটা তুমি একটু ভাল করে চিন্তা করে দেখ
দোয়ানুর নাম ইয়েন আত্তুন মনোত ন ফরের এই মুহূর্তত,দোকানের নামটা আমার মনে পড়ছে না এই মুহূর্তে
এ বছর ঝর বেশি ফরিবের হারনে ফসলুর বৌত হতি অইয়্যি,এ বছর বৃষ্টি বেশি হওয়ার কারণে ফসলের অনেক ক্ষতি হয়েছে
এগুন কি আঁই কিছু বুঝিত ন ফারির,এগুলো কি আমি কিছু বুঝতে পারছিনা
আঁই সহজে মেইফুওয়ার লগে মার্কেটুত যাইতাম ন চাই,আমি সহজে মেয়েদের সাথে মার্কেটে যেতে চাই না
আঁই সহজে মেইফুওয়ার ওয়ারে মার্কেটুত যাইতাম ন চাই,আমি সহজে মেয়েদের সাথে মার্কেটে যেতে চাই না
আঁই সহজে মেইফুওয়ার ফুয়ারে মার্কেটুত যাইতাম ন চাই,আমি সহজে মেয়েদের সাথে মার্কেটে যেতে চাই না
রিয়াল মাদ্রিদ অডি যনে মন ইয়েন হারাপ অই গেল,রিয়াল মাদ্রিদ হেরে যাওয়াতে মনটা খারাপ হয়ে গেল
ফ্রি অইলি এগুন এক্কানা চাইস,ফ্রি হলে এগুলো একটু দেখিস
ফ্রি অইলি এগুন ইক্কিনি চাইস,ফ্রি হলে এগুলো একটু দেখিস
"এবার ধান ক্ষেতিত ফুক অইয়্যি বেশি, এতেল্লে বিষ দন ফরিবু","এবার ধান ক্ষেতে পোকা হয়েছে বেশি, সেজন্য বিষ দিতে হবে"
"এবার ধান ক্ষেতিত ফুগ অইয়্যি বেশি, এতেল্লে বিষ দন ফরিবু","এবার ধান ক্ষেতে পোকা হয়েছে বেশি, সেজন্য বিষ দিতে হবে"
এক লগে তিন্নো ছক্কা মারিবের পরে আউট অই গেই,একটানা তিনটা ছক্কা মারার পর আউট হয়ে গেছি
শীতুর সকালে হুয়ার মধ্যে আডিতু বাইর অইলি মন ইয়েন বৌত ভালা থাহে,শীতের সকালে কুয়াশার মধ্যে হাঁটতে বের হলে মনটা অনেক ভালো থাকে
শীতুর সকালে হুয়ার মধ্যে আডিতু বাইর অইলি মন ইয়েন বৌত গম থাহে,শীতের সকালে কুয়াশার মধ্যে হাঁটতে বের হলে মনটা অনেক ভালো থাকে
আঁই আর আঁর বউ মিলি বিয়াক কিছু রেডি গইজ্জি,আমি আর আমার স্ত্রী মিলে সবকিছু রেডি করেছি
শরীল সুস্থ ন থাহিলি পৃথিবীর বিয়াক সম্পদ থাহিলিও হনো আনন্দ পন ন যায়,শরীর সুস্থ না থাকলে পৃথিবীর সব সম্পদ থাকলেও কোনো আনন্দ পাওয়া যায় না
শরীর সুস্থ ন থাহিলি পৃথিবীর বিয়াক সম্পদ থাহিলিও হনো আনন্দ পন ন যায়,শরীর সুস্থ না থাকলে পৃথিবীর সব সম্পদ থাকলেও কোনো আনন্দ পাওয়া যায় না
"আজিয়ে আঁই নিজে তোঁয়ার লাই রান্না গইজ্জি, হাইয়্যিরে কেন অইয়্যি হইয়্যু","আজকে আমি নিজে তোমার জন্য রান্না করেছি, খেয়ে কেমন হয়েছে জানাবে"
"আজিইয়্যে আঁই নিজে তোঁয়ার লাই রান্না গইজ্জি, হাইয়্যিরে কেন অইয়্যি হইয়্যু","আজকে আমি নিজে তোমার জন্য রান্না করেছি, খেয়ে কেমন হয়েছে জানাবে"
মানুষ ইবে ফুরোদিন ক্ষেতিত হাজ গরে,মানুষটা সারাদিন ক্ষেতে কাজ করে
মানুষ ইবে ফুরোদিন ক্ষেতিত হাম গরে,মানুষটা সারাদিন ক্ষেতে কাজ করে
মানুষ ইবে আরাদিন ক্ষেতিত হাজ গরে,মানুষটা সারাদিন ক্ষেতে কাজ করে
ড্রাইভার হনডে? গারি ন ছারের কা এহনো?,ড্রাইভার কোথায়? গাড়ি ছাড়ছে না কেন এখনো?
বসন্তহাল আঁর বিয়াজ্ঞুনুত্তুন বেশি ভালা লাগে,বসন্তকাল আমার সবচেয়ে বেশি ভালো লাগে
বসন্তহাল আঁর বিয়াজ্ঞুনুত্তুন বেশি গম লাগে,বসন্তকাল আমার সবচেয়ে বেশি ভালো লাগে
আঁই অনডে যাইবের লাই ন ফালাইর,আমি ওখানে যাওয়ার জন্য লাফাচ্ছি না
"তোঁয়ারে হতক্ষণ ধরি কল দির, ফোন ন উডার কা?","তোমাকে কতক্ষণ ধরে কল দিচ্ছি, ফোন উঠাচ্ছ না কেন?"
দোয়ার মাইধ্যমে মাইনষুর ভেগ্য পরিবর্তন অয়,দোয়ার মাধ্যমে মানুষের ভাগ্য পরিবর্তন হয়
দোয়ার মাইধ্যমে মাইনষুর ভাইগ্য পরিবর্তন অয়,দোয়ার মাধ্যমে মানুষের ভাগ্য পরিবর্তন হয়
দোয়ার মাইধ্যমে মাইনষুর হুয়াল পরিবর্তন অয়,দোয়ার মাধ্যমে মানুষের ভাগ্য পরিবর্তন হয়
"বাদ্দি কা থিয়েই থেইক্কুস, ভিতুরে আই","বাইরে কেন দাঁড়ায় আছিস, ভিতরে আই"
"বাইরে কা থিয়েই থেইক্কুস, ভিতুরে আই","বাইরে কেন দাঁড়ায় আছিস, ভিতরে আই"
আম্মু বাসাত হারা চলি যাইতু হইয়্যিল,আম্মু বাসায় জলদি চলে যেতে বলেছিলেন
আম্মু বাসাত তারাতারি চলি যাইতু হইয়্যিল,আম্মু বাসায় জলদি চলে যেতে বলেছিলেন
আম্মু বাসাত জলদি চলি যাইতু হইয়্যিল,আম্মু বাসায় জলদি চলে যেতে বলেছিলেন
ঝর পরি বাইরোর বিয়াক হর ভিজি গেইয়্যি,বৃষ্টি পড়ে বাইরের সব কাপড় ভিজে গেছে
"রাগি গেলি তো অডি গেইয়্যুন, রাগ কন্ট্রোল গরন ফরিবু","রেগে গেলে তো হেরে গেলেন, রাগ কন্ট্রোল করতে হবে"
আঁই কি হই আত্তুন ভুক লেইজ্ঞি?,আমি কি বলেছি আমার খিদে লেগেছে?
ইতারারে একবার আঁর বরো আফা বৌত গেইল দিয়্যিল,ওদেরকে একবার আমার বড় আপু অনেক বকা দিয়েছিল
"তুঁই আজিয়ে নো যও, তুঁই চলি যাইলি আত্তুন ভালা ন লাগিবু","তুমি আজ না যাও, তুমি চলে গেলে আমার ভালো লাগবে না"
"তুঁই আজিয়ে নো যও, তুঁই চলি যাইলি আত্তুন গম ন লাগিবু","তুমি আজ না যাও, তুমি চলে গেলে আমার ভালো লাগবে না"
গাধার মতন আরাদিন ন হাডি এক্কানা চালাকি গরিলি হাজ ইয়েন বৌত আগেই শেষ অই যাইতু,গাধার মতো সারাদিন না খেটে একটু চালাকি করলে কাজটা অনেক আগেই শেষ হয়ে যেত
গাধার মতন আরাদিন ন হাডি ইক্কিনি চালাকি গরিলি হাজ ইয়েন বৌত আগেই শেষ অই যাইতু,গাধার মতো সারাদিন না খেটে একটু চালাকি করলে কাজটা অনেক আগেই শেষ হয়ে যেত
গাধার মতন আরাদিন ন হাডি এক্কানা চালাকি গরিলি হাম ইয়েন বৌত আগেই শেষ অই যাইতু,গাধার মতো সারাদিন না খেটে একটু চালাকি করলে কাজটা অনেক আগেই শেষ হয়ে যেত
গাধার মতন ফুরোদিন ন হাডি এক্কানা চালাকি গরিলি হাজ ইয়েন বৌত আগেই শেষ অই যাইতু,গাধার মতো সারাদিন না খেটে একটু চালাকি করলে কাজটা অনেক আগেই শেষ হয়ে যেত
হাট্টল ইবে তো কেঁচা,কাঁঠাল এটা তো কাঁচা
"আঁরার পথ এনডেই শেষ নো, আজিয়ে অডি গেই তো কী অইয়্যি","আমাদের পথ এখানেই শেষ না, আজ হেরে গেছি তো কী হয়েছে"
তুঁই হন বিশ্ববিদ্যালয় উত্তুন পরাশোনা গইজ্জো?,তুমি কোন বিশ্ববিদ্যালয় থেকে পড়াশোনা করেছ?
"মুখে হন বৌত সোজা, গরি দেহন বৌত কঠিন","মুখে বলা অনেক সহজ, করে দেখানো অনেক কঠিন"
"বারবার মানা গরি, তো আঁর হতা ন উনো","বারবার বারণ করি, তাও আমার কথা শোনো না"
"বারবার মানা গরি, তো আঁর হথা ন উনো","বারবার বারণ করি, তাও আমার কথা শোনো না"
অঁনোর হাছে কি সুতোর পাঞ্জাবি আছে?,আপনার কাছে কি সুতির পাঞ্জাবি আছে?
