Bangla,Chatgaya
"আজকের মধ্যে সবকিছু গুছিয়ে ফেলতে হবে, যেন আগামীকাল সকালে বের হয়ে যেতে পারি","আজিয়ের মধ্যে বিয়াক কিছু গুছায় ফেলন ফরিবু, যেন হালিয়ে বেইন্নে বাইর অই যাইত পারি"
"আজকের মধ্যে সবকিছু গুছিয়ে ফেলতে হবে, যেন আগামীকাল সকালে বের হয়ে যেতে পারি","আজিয়ের মধ্যে বিয়াক কিছু গুছায় ফেলন ফরিবু, যেন হালিয়ে ফজোরত বাইর অই যাইত পারি"
"আপনি তো দাম আপনারটা ধরে বসে আছেন, আমাকে কিছু বলার সুযোগ দিচ্ছেন না","অঁনে তো দাম অঁনোরগান ধরি বই থেইক্কুন, আঁরে কিছু হইবের সুযোগ নইদ্দে লেইজ্ঞুন"
এমনভাবে মাথা ঘুরাচ্ছে যেন মনে হচ্ছে দুনিয়াটা ঘুরতাছে,এন গরি মাথা ঘুরাদ্দে যেন মনে অর দুনিয়ে ইয়েন ঘুরের
"আমার গত তিন মাস ধরে বুকে ব্যথা, মেডিকেলে গিয়ে টেস্ট করে দেখতে হবে","আঁর গত তিন মাস ধরি বুকুত ব্যথা, মেডিকেলুত যাই টেস্ট গরি চন ফরিবু"
"কাপড়টা বেশি ময়লা হয়ে গেছে, ধুয়ে ফেলতে হবে আজকে","হর ইবে বেশি হাচারা অই গেইয়্যি, আজিয়ে ধুই ফেলন ফরিবু"
"কাপড়টা বেশি ময়লা হয়ে গেছে, ধুয়ে ফেলতে হবে আজকে","হর ইবে বেশি হাচারা অই গেইয়্যি, আজিইয়্যে ধুই ফেলন ফরিবু"
"কাপড়টা বেশি ময়লা হয়ে গেছে, ধুয়ে ফেলতে হবে আজকে","হর ইবে বেশি ময়লা অই গেইয়্যি, আজিয়ে ধুই ফেলন ফরিবু"
"আমার একটু খারাপ লাগছে, আমি যেতে পারব না","আত্তুন এক্কানা হারাপ লার, আঁই যাইত ফাইত্তাম নো"
"আমার একটু খারাপ লাগছে, আমি যেতে পারব না","আত্তুন ইক্কিনি হারাপ লার, আঁই যাইত ফাইত্তাম নো"
অনেকদিন হয়ে গেল আমার ভালোবাসার মানুষটাকে দেখি না,বতদিন অই গেইয়্যি আঁর ভালোবাসার মানুষ ইবেরে ন দেহির
"লুকিয়ে থেকে লাভ নাই, আমি তোমাকে দেখে ফেলেছি","গুজি থাহি লাভ নাই, আঁই তোঁয়ারে দেহি ফেলাই"
বাতাসের কারণে আমার গাছের সব আম পড়ে গেছে,বাতাসুর হারনে আঁর গাছুর বিয়াক আম পরি গেইয়্যি
"আমার এখন কোন কিছু মনে থাকে না, সব ভুলে যাই","আঁর এহন হনো কিছু মনোত ন থাহে, বিয়াক ভুলি যাই"
"ভাই, দাম আমি একটা বলব?","বদ্দা, দাম আঁই এক্কান হইয়্যুম?"
"বাইক এক্সিডেন্ট করে এক সপ্তাহ ধরে হাসপাতালের বেডে শুয়ে আছি, আমার কোনো বন্ধুই দেখতে আসল না","বাইক এক্সিডেন্ট গরি এক সপ্তাহ ধরি হাসপাতালুর বেডুত শুই আছি, আঁর হনো বন্ধুই সাইতু ন আইয়্যি"
"তুমি এখন ভাত খেও না, আমি একটু পর আলু ভর্তা করে দিচ্ছি","তুঁই এহন ভাত ন হাইয়্যু, আঁই এক্কানা ফর আলু ভত্তা গরি দির"
"তুমি এখন ভাত খেও না, আমি একটু পর আলু ভর্তা করে দিচ্ছি","তুঁই এহন ভাত ন হাইয়্যু, আঁই ইক্কিনি ফর আলু ভত্তা গরি দির"
"তুমি এখন ভাত খেও না, আমি একটু পর আলু ভর্তা করে দিচ্ছি","তুঁই এহন ভাত ন হাইয়্যু, আঁই এক্কানা ফর আলু চান্নি গরি দির"
"তানিয়ার মা নাকি অসুস্থ, তাই সে যেতে পারবে না","তানিয়ের মা বলে অসুস্থ, এতেল্লে ইতি যাইত ন ফারিবু"
"ভাই, তোর জন্য কিছু মিষ্টি এনেছি, নিয়ে যা, তোর অনেক পছন্দের জিনিস!","বদ্দা, তুর লাই কিছু মিষ্টি আইন্নি, লই যা, তুর বত পছন্দের জিনিস!"
"বন্ধুর সঙ্গে বাইক নিয়ে বের হয়েছিলাম, রাস্তায় হঠাৎ বৃষ্টি চলে আসে","বন্ধুর লগে বাইক লই বাইর অইলাম, রাস্তাত হঠাৎ ঝর চলি আইসসি"
আসসালামু আলাইকুম ভাই,আসসালামু আলাইকুম বদ্দা
"ভাই, বৃষ্টি চলে আসছে, একটু বাসের জানালাগুলো বন্ধ করে দেন","বদ্দা, বৃষ্টি চলি আইসসি, এক্কানা বাসুর জানালা এগিন বন্ধ গরি দন"
"ভাই, বৃষ্টি চলে আসছে, একটু বাসের জানালাগুলো বন্ধ করে দেন","বদ্দা, বৃষ্টি চলি আইসসি, ইক্কিনি বাসুর জানালা এগিন বন্ধ গরি দন"
"শীতকালে ভোরে অনেক কুয়াশা থাকে, বাইরে অনেক দূর পর্যন্ত কোনো কিছু দেখা যায় না","শীতহালে ফোওয়াত্তে বত বেশি হুয়া থাহে, বাদ্দি বত দুর পর্যন্ত হনো কিছু দেহা ন যায়"
"শীতকালে ভোরে অনেক কুয়াশা থাকে, বাইরে অনেক দূর পর্যন্ত কোনো কিছু দেখা যায় না","শীতহালে ফোওয়াত্তে বত বেশি হুয়া থাহে, বাইরে বত দুর পর্যন্ত হনো কিছু দেহা ন যায়"
"এটা করা একদম ঠিক হবে না, তুমি আরেকবার চিন্তা করে দেখো","ইয়েন গরন একদম ঠিক ন অইবু, তুঁই আরেকবার চিন্তে গরি সো"
কতদিনের মধ্যে কাজ হবে ভাই?,হতদিনোর মধ্যে হাম অইবু বদ্দা?
কতদিনের মধ্যে কাজ হবে ভাই?,হতদিনোর মধ্যে হাজ অইবু বদ্দা?
"আচ্ছা, তুই যে এত খাস, সেই খাবারগুলো যায় কোথায়?","আইচ্ছে, তুই যে এত হস, এই হানা এগিন যায় হনডে?"
রিয়াল মাদ্রিদ হেরে যাওয়াতে মনটা খারাপ হয়ে গেল,রিয়াল মাদ্রিদ অডি যনে মন ইয়েন হারাপ অই গেল
"কারেন্ট এখনো আসেনি, এখন বসে বসে অপেক্ষা করা ছাড়া আর কী করার আছে?","কারোন এহনো ন আইয়্যি, এহন বই বই অপেক্ষা গরন ছারা আর কি গরিবের আছে?"
"কারেন্ট এখনো আসেনি, এখন বসে বসে অপেক্ষা করা ছাড়া আর কী করার আছে?","কারোন এইজু ন আইয়্যি, এহন বই বই অপেক্ষা গরন ছারা আর কি গরিবের আছে?"
"জলদি যাও, সূর্য ডোবার আগে কাজ শেষ কর","হারা যও, সূর্য ডুবিবের আগে হাম শেষ গরো"
"জলদি যাও, সূর্য ডোবার আগে কাজ শেষ কর","হারা যও, সূর্য ডুবিবের আগে হাজ শেষ গরো"
"জলদি যাও, সূর্য ডোবার আগে কাজ শেষ কর","তারাতারি যও, সূর্য ডুবিবের আগে হাম শেষ গরো"
"জলদি যাও, সূর্য ডোবার আগে কাজ শেষ কর","জলদি যও, সূর্য ডুবিবের আগে হাম শেষ গরো"
তুমি আমার কথায় কান না দিয়ে ওই দিকে কি দেখো?,তুঁই আঁর হতাত হান ন দি উইক্কে কি চায় থেইক্কো?
ওর সাহস কত! আমার নাম ধরে ডাকে,ইতের সাহস হতো! আঁর নাম ধরি ডাহে
আপনার কাছে কি সুতির পাঞ্জাবি আছে?,অঁনোর হাছে কি সুতোর পাঞ্জাবি আছে?
কি কিনব বাজার থেকে! সবকিছুর যে দাম!,কি কিননুম বাজারোত্তুন! বিয়াক কিছুর যে দাম!
মারুফ প্রথম বলেই আউট হয়ে গেছে,মারুফ পইল্লের বলেই আউট অই গেইয়্যি
"আমি এখন চলে যাচ্ছি, তুমি পরে আসিও","আঁই এহন চলি যাইর, তুঁই পরে আইস্যো"
মেয়েটা হাত মোজা পড়েছিল,মেইফুওয়া ইবে আত মৌজো ফইজ্জিল
সকালে আমি রুটি খাব,বেইন্নে আঁই রুটি হাইয়্যুম
সকালে আমি রুটি খাব,ফজোরত আঁই রুটি হাইয়্যুম
"দেখে দেখে নেন, বেছে বেছে নেন, একদাম ২০০ টাকা","সাই সাই লন, বাছি বাছি লন, একদাম ২০০ টিয়া"
আমি কি বলেছি সেটা তুমি একটু ভাল করে চিন্তা করে দেখ,আঁই কি হইয়্যি ইয়েন তুঁই এক্কানা ভালা গরি চিন্তে গরি স
আমি কি বলেছি সেটা তুমি একটু ভাল করে চিন্তা করে দেখ,আঁই কি হইয়্যি ইয়েন তুঁই এক্কানা গম গরি চিন্তে গরি স
আমি কি বলেছি সেটা তুমি একটু ভাল করে চিন্তা করে দেখ,আঁই কি হইয়্যি ইয়েন তুঁই ইক্কিনি ভালা গরি চিন্তে গরি স
এগুলো কি আমি কিছু বুঝতে পারছিনা,এগুন কি আঁই কিছু বুঝিত ন ফারির
তোমার ছোট ছেলেটা বেশি বাহানা করে,তোঁয়ার ছোডো ফুওয়া ইবে বেশি তাল গরে
"তুমি একটু অপেক্ষা করো, আমরা একসাথে যাব","তুঁই এক্কানা অপেক্ষা গরো, আঁরা একলগে যাইয়্যুম"
"তুমি একটু অপেক্ষা করো, আমরা একসাথে যাব","তুঁই ইক্কিনি অপেক্ষা গরো, আঁরা একলগে যাইয়্যুম"
"তুমি একটু অপেক্ষা করো, আমরা একসাথে যাব","তুঁই এক্কানা অপেক্ষা গরো, আঁরা এক্কোত্তরে যাইয়্যুম"
"তুমি একটু অপেক্ষা করো, আমরা একসাথে যাব","তুঁই এক্কানা অপেক্ষা গরো, আঁরা এক্কোওয়ারে যাইয়্যুম"
"তুমি একটু অপেক্ষা করো, আমরা একসাথে যাব","তুঁই এক্কানা অপেক্ষা গরো, আঁরা এক্কোফুয়ারে যাইয়্যুম"
"লাইটটা একটু জ্বালিয়ে দাও, ঘরে অন্ধকার হয়ে গেছে","লাইট ইবে এক্কানা জালাই দও, ঘরুত আধার অই গেইয়্যি"
"লাইটটা একটু জ্বালিয়ে দাও, ঘরে অন্ধকার হয়ে গেছে","লাইট ইবে ইক্কিনি জালাই দও, ঘরুত আধার অই গেইয়্যি"
দুপুরের পর ঘুমালে আমার মাথা ব্যথা করে,দুইরগের পর ঘুম যাইলি আত্তুন মাথা ব্যথা গরে
"বন্ধু, এবার ঈদে আমাকে এক জোড়া জুতা গিফট কর","বন্ধু, এবার ঈদুত আঁরে এক জোরা জুতা গিফট গর"
"এবার ধান ক্ষেতে পোকা হয়েছে বেশি, সেজন্য বিষ দিতে হবে","এবার ধান ক্ষেতিত ফুক অইয়্যি বেশি, এতেল্লে বিষ দন ফরিবু"
"এবার ধান ক্ষেতে পোকা হয়েছে বেশি, সেজন্য বিষ দিতে হবে","এবার ধান ক্ষেতিত ফুগ অইয়্যি বেশি, এতেল্লে বিষ দন ফরিবু"
একটানা তিনটা ছক্কা মারার পর আউট হয়ে গেছি,এক লগে তিন্নো ছক্কা মারিবের পরে আউট অই গেই
১০টা খারাপ বন্ধুর চেয়ে একটা ভালো বন্ধু হলেই যথেষ্ট,দশশো হারাপ বন্ধুর চাইতে উজ্ঞো ভালা বন্ধু অইলিই যথেষ্ট
১০টা খারাপ বন্ধুর চেয়ে একটা ভালো বন্ধু হলেই যথেষ্ট,দশশো হারাপ বন্ধুর চাইতে উজ্ঞো গম বন্ধু অইলিই যথেষ্ট
তুমি আমার কথা শুনবে নাকি শুনবে না?,তুঁই কি আঁর হথা উনিবে নাকি নো উনিবে?
তুমি আমার কথা শুনবে নাকি শুনবে না?,তুঁই কি আঁর হতা উনিবে নাকি নো উনিবে?
"আগে আমি কিছুক্ষণ বিশ্রাম নিই, তারপর তোমার সঙ্গে কথা বলব","আগে আঁই হতক্ষন জিরেই, তারপর তোঁয়ার লগে হথা হইয়্যুম"
"আগে আমি কিছুক্ষণ বিশ্রাম নিই, তারপর তোমার সঙ্গে কথা বলব","আগে আঁই হতক্ষন জিরেই, তারপর তোঁয়ার লগে হতা হইয়্যুম"
"আজকে আমি নিজে তোমার জন্য রান্না করেছি, খেয়ে কেমন হয়েছে জানাবে","আজিয়ে আঁই নিজে তোঁয়ার লাই রান্না গইজ্জি, হাইয়্যিরে কেন অইয়্যি হইয়্যু"
"আজকে আমি নিজে তোমার জন্য রান্না করেছি, খেয়ে কেমন হয়েছে জানাবে","আজিইয়্যে আঁই নিজে তোঁয়ার লাই রান্না গইজ্জি, হাইয়্যিরে কেন অইয়্যি হইয়্যু"
মানুষটা সারাদিন ক্ষেতে কাজ করে,মানুষ ইবে ফুরোদিন ক্ষেতিত হাজ গরে
মানুষটা সারাদিন ক্ষেতে কাজ করে,মানুষ ইবে ফুরোদিন ক্ষেতিত হাম গরে
মানুষটা সারাদিন ক্ষেতে কাজ করে,মানুষ ইবে আরাদিন ক্ষেতিত হাজ গরে
"আজকে সকাল থেকে টিপটিপ বৃষ্টি পড়ছে, থামার কোনো লক্ষণ দেখা যাচ্ছে না","আজিয়ে বেইন্নেত্তুন ফেডের ফেডের ঝর ফরের, থামিবের হনো লক্ষন দেহা ন যার"
"আজকে সকাল থেকে টিপটিপ বৃষ্টি পড়ছে, থামার কোনো লক্ষণ দেখা যাচ্ছে না","আজিইয়্যে বেইন্নেত্তুন ফেডের ফেডের ঝর ফরের, থামিবের হনো লক্ষন দেহা ন যার"
শীতের সকালে কুয়াশার মধ্যে হাঁটতে বের হলে মনটা অনেক ভালো থাকে,শীতুর সকালে হুয়ার মধ্যে আডিতু বাইর অইলি মন ইয়েন বত ভালা থাহে
শীতের সকালে কুয়াশার মধ্যে হাঁটতে বের হলে মনটা অনেক ভালো থাকে,শীতুর সকালে হুয়ার মধ্যে আডিতু বাইর অইলি মন ইয়েন বত গম থাহে
"তুই যা শুরু করলি শাকিল, একদিন তো আমার মান সম্মান খেয়ে ফেলবি","তুই যা শুরু গইজ্জুস শাকিল, একদিন তো আঁর মান সম্মান হাই ফেলাইবি"
"তোমাকে কতক্ষণ ধরে কল দিচ্ছি, ফোন উঠাচ্ছ না কেন?","তোঁয়ারে হতক্ষণ ধরি কল দির, ফোন ন উডার কা?"
মার্কেটের সব দোকানের চেয়ে আমরা সবচেয়ে সস্তায় দিচ্ছি,মার্কেটর বিয়াক দোয়ানুত্তুন বর আঁরা বিয়াজ্ঞুনুত্তুন অস্তা দির
"বাইরে কেন দাঁড়ায় আছিস, ভিতরে আই","বাদ্দি কা থিয়েই থেইক্কুস, ভিতুরে আই"
"বাইরে কেন দাঁড়ায় আছিস, ভিতরে আই","বাইরে কা থিয়েই থেইক্কুস, ভিতুরে আই"
সবার জন্য মন থেকে দোয়া আর ভালোবাসা থাকবে,বিয়াগুনুর লাই মনত্তুন দোয়া আর ভালোবাসা থাহিবু
বৃষ্টি পড়ে বাইরের সব কাপড় ভিজে গেছে,ঝর পরি বাইরোর বিয়াক হর ভিজি গেইয়্যি
কিছু কিছু মানুষের থেকে কুকুর অনেক বিশ্বস্ত,কিছু কিছু মানুষ উত্তুন কুত্তো বত বিশ্বস্ত
"সারাদিন একটানা বসে থাকিও না, কিছুক্ষণ পর পর উঠে একটু হাঁটিও","আরাদিন একটানা বই ন থাইক্কো, হতক্ষন পর পর উডি এক্কানা আইট্টো"
"সারাদিন একটানা বসে থাকিও না, কিছুক্ষণ পর পর উঠে একটু হাঁটিও","আরাদিন একটানা বই ন থাইক্কো, হতক্ষন পর পর উডি ইক্কিনি আইট্টো"
"সারাদিন একটানা বসে থাকিও না, কিছুক্ষণ পর পর উঠে একটু হাঁটিও","ফুরোদিন একটানা বই ন থাইক্কো, হতক্ষন পর পর উডি এক্কানা আইট্টো"
ঘরে চোর ঢুকে সব জিনিস নিয়ে গেছে,ঘরোত চোর ঢুকি বিয়াক জিনিস লই গেইয়্যি
আসার সময় তোর মামাতো বোনকে দেখলাম গাড়িতে করে কোথায় যাচ্ছে,আইবের সমত তুর মঅতু বইনুরে দেহিলাম গারিত গরি হনডে যার
আসার সময় তোর মামাতো বোনকে দেখলাম গাড়িতে করে কোথায় যাচ্ছে,আইবের সমত তুর মঅতু বইনুরে দেহিলাম গারিত গরি হডে যার
এই বৃষ্টির মধ্যে বাইক নিয়ে কোথায় যাচ্ছিস?,এই বৃষ্টির মধ্যে বাইক লই হনডে যর?
এই বৃষ্টির মধ্যে বাইক নিয়ে কোথায় যাচ্ছিস?,এই বৃষ্টির মধ্যে বাইক লই হডে যর?
কাঁঠাল এটা তো কাঁচা,হাট্টল ইবে তো কেঁচা
"আমি ড্রাইভারকে দিয়ে গাড়ি পাঠিয়ে দিচ্ছি, তুমি একটু অপেক্ষা করো","আঁই ড্রাইভার উরে দি গারি পাঠাই দি, তুঁই এক্কানা অপেক্ষা গরো"
"আমি ড্রাইভারকে দিয়ে গাড়ি পাঠিয়ে দিচ্ছি, তুমি একটু অপেক্ষা করো","আঁই ড্রাইভার উরে দি গারি পাঠাই দি, তুঁই ইক্কিনি অপেক্ষা গরো"
কিছু লাগলে আমাকে জানাবেন,কিছু লাগিলি আঁরে জানাইয়্যুন
সবার ব্যাগ আর মোবাইল ফোন সামনে এনে রাখো,বিয়াজ্ঞুনুর ব্যাগ আর মোবাইল ফোন সাম্মুদ্দি আনি রাহো
গরমকালে মাটির ঘরে গরম কম লাগে,গরমহালে মেডির ঘরোত গরম হম লাগে
একটা ভালো কোয়ালিটির প্যান্ট দেখান,উজ্ঞো ভালা কোয়ালিটির ফেন দেহন
একটা ভালো কোয়ালিটির প্যান্ট দেখান,উজ্ঞো গম কোয়ালিটির ফেন দেহন
"গতকাল রাতে বাতাস অনেক বেশি ছিল, গাছ ভেঙে রাস্তা বন্ধ হয়ে গেছে","হালিয়ে রাতিয়ে বাতাস বত বেশি আছিল, গাছ ভাঙি রাস্তা বন্ধ অই গেইয়্যি"
তোর এত সাহস কীভাবে হলো! আমার কথার অবাধ্য হোস!,তোর এল্লেত সাহস কেনে অইয়্যি দে! আঁর হতার অবাধ্য অস!
তোর এত সাহস কীভাবে হলো! আমার কথার অবাধ্য হোস!,তোর এতো সাহস কেনে অইয়্যি দে! আঁর হতার অবাধ্য অস!
একটানা টিভি দেখতে দেখতে ঘাড়ে ব্যথা হয়ে গেছে,একটানা টিভি চাইতে চাইতে ঘেডি ব্যথা অই গেইয়্যি
শেষ কবে রোদ দেখেছি  মনে নেই আমার,শেষ হত্তে রইদ দেইক্কি মনত নেই আত্তুন
রাগ করলে কিন্তু আমার ভাল লাগেনা,গুসসা অইলি কিন্তু আত্তুন গম ন লাগে
রাগ করলে কিন্তু আমার ভাল লাগেনা,গুসসা অইলি কিন্তু আত্তুন ভালা ন লাগে
বেশি দুষ্টামি করলে ঘাড়ের মধ্যে একটা দেব,বেশি জারগই গরিলি ঘেডি বেরাই উজ্ঞো দিয়্যুম
আমার ইচ্ছা একদিন পুরো পৃথিবী ঘুরে দেখব,আঁর ইচ্ছে একদিন পুরো পৃথিবী ঘুরি চাইয়্যুম
এবার ঢাকা থেকে আসার সময় আমার জন্য একটা পাঞ্জাবি আনিস,এবার ঢাহাত্তুন আইবের সমোত আঁর লাই ওজ্ঞো পাঞ্জাবি আনিস
